item_id,source,environment,disposition,reason
rem:aklt_z2z2_spt,src/chapter/ch15_examples_aklt.tex,remark,tn,tensor-network example
rem:aperiodicity,src/appendix/ft_mps/ch08_wielandt.tex,remark,tn,MPS normality comparison
rem:arbitrary_input_reduction_gap,src/chapter/ch10_bnt_sector_canonical_form.tex,remark,tn,matrix-product-state canonical-form statement
rem:bicanonical_special_case,src/chapter/ch04_channels_peripheral_spectrum_and_primitivity.tex,remark,qic,quantum-channel fixed-point normalization
rem:blocked_lemma2b_gap,src/chapter/ch08_wielandt_fixed_length_and_normality.tex,remark,tn,MPS blocked fixed-length construction
rem:cf_injective_vs_normal,src/chapter/ch02_mps.tex,remark,tn,matrix-product-state statement
rem:cluster_injective_blocked,src/chapter/ch15_examples_cluster_state.tex,remark,tn,tensor-network example
rem:cluster_stabilizer_convention,src/chapter/ch15_examples_parent_hamiltonians.tex,remark,tn,tensor-network example
rem:contiguous_restriction_ground_space_map_intersection,src/chapter/ch13_parent_hamiltonian_injective_ground_spaces_intersection_property.tex,remark,tn,parent-Hamiltonian statement
rem:cor_4_1_projective_rep_spt,src/chapter/ch22_periodic_ft_physical_symmetries.tex,remark,tn,periodic matrix-product-state statement
rem:correlations_parent_hamiltonian,src/chapter/ch14_correlations.tex,remark,tn,matrix-product-state correlation statement
rem:cp_radon_nikodym_scope,src/chapter/ch16_channel_representations_dilations_and_ordered_cp.tex,remark,qic,completely positive map order
rem:cpgsv_canonical_form_source,src/chapter/ch09_canonical_forms_and_projectors_auxiliary.tex,remark,tn,matrix-product-state canonical-form statement
rem:cumspan_counterexample,src/appendix/ft_mps/ch08_wielandt.tex,remark,qic,finite Kraus-family word-span example
rem:d1_bypasses_aperiodicity,src/chapter/ch08_wielandt_word_span_and_block_injectivity.tex,remark,qic,finite Kraus-family word-span theorem
rem:decomposition_nonunique,src/chapter/ch23_algebraic_ft_foundations.tex,remark,tn,algebraic matrix-product-state statement
rem:ft_vs_singleBlock,src/chapter/ch23_algebraic_ft_injective_chains_and_product_algebra.tex,remark,tn,algebraic matrix-product-state statement
rem:gauge_conventions,src/chapter/ch07_spectral_mixed_transfer_and_overlap.tex,remark,tn,matrix-product-tensor spectral statement
rem:ghz_parent_interaction,src/chapter/ch15_examples_parent_hamiltonians.tex,remark,tn,tensor-network example
rem:injective_symmetry_ft_route,src/chapter/ch12_symmetry_virtual_and_cohomology.tex,remark,tn,matrix-product-state symmetry statement
rem:irreducible_form_higher_periods,src/chapter/ch22_periodic_ft_irreducible_rotation.tex,remark,tn,periodic matrix-product-state statement
